Class Number,Class Name,Units,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
ENGL ,Genre Fundamentals: Poetry,100 Units,"This course is an introduction to poetry by way of attention to poetry's arts of condensation, its techniques for producing complexities of meaning in small spaces. While our readings are drawn from a wide historical range, they do not aim to provide a representative survey of English-language poetry.  Rather, they serve as a series of explorations of the ways poetic signification works. We will practice slowing down our attention, noticing where things get dense or strange, engaging with the play of poetic language and form, and articulating the questions provoked by that engagement. Our aim is to become better at thinking through poetry: that is, both thinking through the questions we articulate as we grapple with poetic language and form, and thinking about the topics poetry grapples with by way of its peculiar modes of encounter with those problems.  To give some focus to our explorations, we will turn throughout the course to questions of gender, sexuality, race, and class, and ask how poetry functions as a distinctive medium for exploring the intersections of subjectivity, desire, power, and social form. (Genre Fundamentals, Poetry)",Mark Miller,Winter,,
ENGL ,"Fantastical London: Literature, Film, Psychogeography",100 Units,"In a series of classic essays, Walter Benjamin describes Paris as the dreamworld of modernity, crowning it the ""capital of the nineteenth century."" This course follows Benjamin's critique of the modern city as a ""phantasmagoria,"" but shifts the terrain of his argument to ask: what if London were seen as the center of a distinctly dreamlike modernity? What purchase do literature and art afford in the elaboration of this thought-experiment? In this class we will approach London as a city of utopian wishes and Gothic nightmares, exploring the real social conditions and mapping the built environments that mark the Big Smoke as an enduring site of collective fantasy. We will read writings by British authors like Charles Dickens, J.G. Ballard, Iain Sinclair, and China Miéville, alongside works of popular and avant-garde film, comics, and critical theory, to accompany our sojourn through the dream-geography of a fantastical London.  
This course may also involve site-specific field visits to archetypal London locations and an experimental research/ psychogeography final project.  (Fiction, 1830-1990, Theory)",Cassandra Lerer,Autumn,Admission to London Program (study abroad) required.,
ENGL ,"Literature, Medicine, and Embodiment",100 Units,"This class explores the connections between imaginative writing and embodiment, especially as bodies have been understood, cared for, and experienced in the framework of medicine. We'll read texts that address sickness, healing, diagnosis, disability, and expertise. The class also introduces a number of related theoretical approaches, including the medical humanities, disability studies, narrative medicine, the history of the body, and the history of science. (Theory)",Julie Orlemanski,"AutumnEquivalent Course(s): HLTH 26020, GNSE 20620",,"HLTH 26020, GNSE 20620"
ENGL ,Poetry and Cinema,100 Units,"On the surface, poetry and film may seem to have little in common. But over the course of the twentieth century, many poets took a serious interest in film and engaged with it as screenwriters and critics, as well as in their poetry. Likewise, many filmmakers looked to poetry as a model for how movies could work; for some, poetry (not fiction or drama) was film's artistic next of kin. This course takes a broad, multi-national survey of poetry and film from the 1920s to the 1970s. How did writers and filmmakers understand the relationship between the two mediums? What kinds of resources and challenges did each medium pose to the other? Poets on the syllabus may include Gertrude Stein, H.D., Langston Hughes, César Vallejo, Salvador Novo, Xavier Villaurrutia, Benjamin Fondane, Pierre Reverdy, and Pier Paolo Pasolini. Likely filmmakers include Charlie Chaplin, Buster Keaton, Sergei Eisenstein, Dudley Murphy, Kenneth Macpherson, Fernando de Fuentes, Maya Deren, Jean Cocteau, Kenneth Anger, and Stan Brakhage. (All texts will be in English; films will be screened with English subtitles. The course will include weekly film screenings outside of regular class meetings.)  (Poetry, 1830-1990).",Jack Chelgren,Autumn,,
ENGL ,Genre Fundamentals: Fiction,100 Units,"through the present, we'll consider the various genres and material forms through which fiction has found audiences. We'll ask: what have those audiences wanted from fiction? What functions has fiction served? What work can stories do, and what pleasures do they provide? If fiction is't true, what kind of knowledge or understanding can it offer? From the printing press to generative AI, how do fiction and technology interract? Focusing on the short story and the novel, we'll consider fictions and theories of fiction from authors including George Eliot, Henry James, Virginia Woolf, and Toni Morrison. Our discussions will take up topics including point of view, the relationship between narrative and time, the powers of realism and its contraries, and the experience of suspense. (Genre Fundamentals, Fiction)",Emily Coit,Autumn,,
ENGL ,Fundamentals of Literary Criticism,100 Units,"An introduction to the practice of literary and cultural criticism over the centuries, with a particular emphasis on theoretical debates about meaning and interpretation in the late 20th century and present. (Genre Fundamentals, Theory)",Sianne Ngai,Winter,,
ENGL ,"Living Queer: Experiences, Encounter, Affinities",100 Units,"In this interdisciplinary seminar, we will explore representations and expressions of queer and trans lives across the twentieth and twenty-first centuries. Assembling a diverse archive of artistic works and cultural artifacts (fiction, memoir, film, lyric poetry, anthology, activist ephemera) together with foundational works in the study of sexuality and gender, we will ask: How do hegemonic institutions, discourses, and definitions - from medical models of pathology to hostile bureaucratic infrastructure - shape the expressive forms available to queer and trans people? And how does the literary, artistic, and activist work of queer and trans people work in turn to reshape those very expressive possibilities? How can individual experiences of isolation and marginalization form the basis of a community or subculture? How are erotic creativity, imaginative life, and political action linked?  
Our readings will introduce a range of critical and creative methods - such as oral history, ethnography, autobiography, performance - that scholars and artists have used to theorize and represent queer life. Through short ""micro-assignments,"" we will try out these methods for ourselves. By interweaving the creative work of queer and trans people and communities with practical experiments in research and making, we will aim to broaden our collective understanding of what it might mean to ""live queer."" (Previous experience in gender and sexuality studies is not required for this course.)",Sarah McDaniel,SpringNote(s): This course counts as a Foundations course for GNSE majorsEquivalent Course(s): GNSE 12125,,GNSE 12125
ENGL ,Medieval Experimental Style,100 Units,"This course focuses on medieval experiments in writing Middle English - an undertaking necessarily experimental in a period when French and Latin dominated literary production. We'll also consider some twentieth- and twenty-first-century responses to medieval experimental poetics, by reading the work of writers who self-consciously appropriate the experimental styles of Middle English (e.g., Robert Glück, Zadie Smith, Patience Agbabi, and Caroline Bergvall). We will read texts by medieval authors likely to include Geoffrey Chaucer, Margery Kempe, the playwright known as the ""Wakefield Master,"" and the author of The Owl and the Nightingale. No previous experience with Middle English is expected or required. (Pre-1650)",Julie Orlemanski,Autumn,,
ENGL ,Chaucer's Dream Poems,100 Units,"This course takes Chaucer's three dream poems as the basis to explore the English poet's experimental verse and the nature of medieval poetry in the later fourteenth century. As a class, we'll test ways of reading and interpreting this philosophically ambitious and riddling body of writing. No previous experience with medieval literature required. (Pre-1650)",Julie Orlemanski,Winter,,
ENGL ,Writing Persuasion: Health and Environment,100 Units,"A writing-intensive course in persuasive techniques that influence opinions and attempt to change behavior. This year our focus will be on an issue that presents a challenge for persuasion theory: the environment. People are notoriously slow to change their beliefs and behavior on environmental issues, and persuasion theory suggests reasons why this might be the case. Environmental problems ask readers to weigh costs that affect one group against benefits that might accrue to someone else. They involve time frames ranging from moments (which are easy to think and write about) to millennia (not so easy) to geological epochs, a time scale so remote from our experience as to be opaque to the imagination. Environmental problems are complex in ways that make them difficult to capture in a coherent, emotionally compelling narrative. Many individually innocuous and seemingly unrelated environmental events can converge over time to produce consequences that are counter-intuitively larger and graver than their causes. This felt disparity between actions and outcomes can violate an audience's sense of fairness, biasing the audience against a persuasive appeal.",Tracy Weiner,"SpringEquivalent Course(s): ENGL 32704, ENST 12704, CEGU 22704",,"ENGL 32704, ENST 12704, CEGU 22704"
